"","ss","age","probe_type","acc","rt"
"1",1100,14,"new",1,717
"2",1100,14,"new",0,661
"3",1100,14,"otherpresented",1,833
"4",1100,14,"otherpresented",0,629
"5",1100,14,"otherpresented",1,834
"6",1100,14,"new",1,722
"7",1100,14,"otherpresented",1,641
"8",1100,14,"otherpresented",1,635
"9",1100,14,"otherpresented",1,621
"10",1100,14,"lastpresented",1,479
"11",1100,14,"otherpresented",1,724
"12",1100,14,"lastpresented",1,796
"13",1100,14,"new",0,482
"14",1100,14,"new",1,788
"15",1100,14,"new",1,682
"16",1100,14,"lastpresented",1,595
"17",1100,14,"lastpresented",1,527
"18",1100,14,"new",1,880
"19",1100,14,"otherpresented",0,819
"20",1100,14,"lastpresented",1,721
"21",1100,14,"lastpresented",1,835
"22",1100,14,"otherpresented",1,529
"23",1100,14,"otherpresented",1,468
"24",1100,14,"lastpresented",1,490
"25",1100,14,"new",1,587
"26",1100,14,"new",1,1126
"27",1100,14,"otherpresented",1,794
"28",1100,14,"lastpresented",1,644
"29",1100,14,"new",1,657
"30",1100,14,"new",1,1131
"31",1100,14,"otherpresented",1,834
"32",1100,14,"lastpresented",1,478
"33",1100,14,"otherpresented",1,602
"34",1100,14,"lastpresented",1,514
"35",1100,14,"otherpresented",1,691
"36",1100,14,"lastpresented",1,654
"37",1100,14,"new",1,737
"38",1100,14,"new",1,693
"39",1100,14,"lastpresented",1,483
"40",1100,14,"otherpresented",0,1389
"41",1100,14,"new",1,775
"42",1100,14,"otherpresented",0,1114
"43",1100,14,"otherpresented",1,669
"44",1100,14,"lastpresented",1,497
"45",1100,14,"lastpresented",1,642
"46",1100,14,"new",1,666
"47",1100,14,"lastpresented",1,622
"48",1100,14,"otherpresented",1,575
"49",1100,14,"new",1,735
"50",1100,14,"otherpresented",1,894
"51",1100,14,"otherpresented",1,533
"52",1100,14,"otherpresented",1,801
"53",1100,14,"otherpresented",1,721
"54",1100,14,"otherpresented",1,579
"55",1100,14,"new",1,915
"56",1100,14,"new",1,636
"57",1100,14,"lastpresented",1,675
"58",1100,14,"new",1,525
"59",1100,14,"new",1,987
"60",1100,14,"otherpresented",1,906
"61",1100,14,"lastpresented",1,703
"62",1100,14,"new",1,1420
"63",1100,14,"otherpresented",1,761
"64",1100,14,"lastpresented",1,705
"65",1100,14,"otherpresented",1,790
"66",1100,14,"new",1,952
"67",1100,14,"lastpresented",1,629
"68",1100,14,"lastpresented",1,539
"69",1100,14,"new",1,1078
"70",1100,14,"lastpresented",1,497
"71",1100,14,"new",1,1156
"72",1100,14,"new",1,693
"73",1100,14,"otherpresented",0,645
"74",1100,14,"lastpresented",1,548
"75",1100,14,"lastpresented",1,850
"76",1100,14,"new",1,774
"77",1100,14,"lastpresented",1,590
"78",1100,14,"lastpresented",1,626
"79",1100,14,"lastpresented",1,465
"80",1100,14,"otherpresented",1,721
"81",1100,14,"otherpresented",1,640
"82",1100,14,"new",1,778
"83",1100,14,"new",1,953
"84",1100,14,"lastpresented",1,480
"85",1100,14,"new",0,847
"86",1100,14,"lastpresented",1,618
"87",1100,14,"otherpresented",0,1082
"88",1100,14,"otherpresented",1,509
"89",1100,14,"new",1,1037
"90",1100,14,"lastpresented",1,704
"91",1100,14,"otherpresented",1,1035
"92",1100,14,"new",1,862
"93",1100,14,"lastpresented",1,657
"94",1100,14,"new",1,695
"95",1100,14,"lastpresented",1,489
"96",1100,14,"otherpresented",1,820
"97",1100,14,"new",1,764
"98",1100,14,"lastpresented",0,1520
"99",1100,14,"lastpresented",1,439
"100",1100,14,"otherpresented",1,546
"101",1100,14,"lastpresented",1,447
"102",1100,14,"new",1,588
"103",1100,14,"lastpresented",1,588
